text,label
四五倍,3
发Q币吗,2
奶奶很慈祥,5
喜欢原木调调,4
49mm,3
炎之呼吸,4
是提灯,5
打游戏,6
广州都有,4
coms脏了,3
这能随便分享,3
wocLUNA,2
gflmhy,2
太美了妈耶,2
多格特,2
haokd,4
amazing,6
给了给了,6
得多重阿,3
砸个电池,3
这不是大学吗,4
好家伙甩狙呢,2
好厂冬,2
比a便宜多了,3
配三桶,5
lbwnb,6
哦像鸭子,4
sha256,3
叫大碴,5
太6了兄弟,3
然后还贼难用,2
96变94,2
非洲印度,3
坐电梯,6
救命有楠铜,2
小偷电路,3
直接买了吧,4
发过来,6
甚至还有走位,1
rgp,2
NBB,4
z笑不活了,2
物理消灭,2
素颜区up,5
哥辣里,5
翻车无限,5
三连了跪着看,3
继续上路吧,2
hahahhahaha,2
快跑太下头了,1
6303,5
榴蓮狗,5
店员她在干嘛,5
我的yoda,4
甜甜好可爱,5
gelatocone,5
爹琴娘,2
胯胯哈哈哈,5
竟然有点好看,3
加小油,5
低温慢煮,3
我也在福州,5
这24平米,4
月光炮,2
炸串即视感,5
小字辈,2
大招有点淡雅,2
一个字弱,5
The,4
杨枝甘露最爱,5
真实性,6
科特啊,1
绝对路径,3
销魂的程序猿,5
有点像艾希,2
尸僵缓解,2
口水喷麦了,5
我选军械库,1
差点举报,4
一次性的彩蛋,1
js25,5
出现了出现了,2
N64,2
beeyee,1
爷视之,4
狗策划祭天吧,2
王老师白给了,4
企业文化I1,2
这bgm真好,5
先怼馍吧,5
黑龙江人冒头,4
分泌物,5
我懵了都,1
动森的bgm,2
吃不出,5
五谷识破自己,2
华容道是吧,4
张伟金甲,1
爷和狐狸亲亲,1
锅太大,5
咬出血了确信,5
帮别人,6
经典增长天王,2
不像啊,6
后期牛啊,5
笑到伤口痛,4
一刀的事儿,5
BIGHEAD,4
我的狼人爷爷,3
调查员,6
家乡小味,5
3个就行,4
这太大太,4
姬拉夫,5
卧槽快跑,4
来一起拉大变,1
无用之人死,2
社牛遇上社牛,3
不烧去不干净,5
778,3
刚从德国过来,5
黑幕黑幕黑幕,5
猩球大战,2
大什么,2
爸爸呦,1
真圆神,2
盖锡纸,5
摔跤手,1
挖不动,4
逗比的雀巢,1
牛逼啊誉品,3
血压高了,6
狼二加,2
我也超爱鱼冻,5
不是吧二行,1
好看搭配,2
开幕雷击物理,1
你指杀杀杀,2
好勤快哈哈,2
我去好认真,2
这不是鱼吧,4
胖姐说,2
什么洁癖,4
是琴键猴,1
包bill吗,4
都很好吃,4
童年回忆了,2
伊吕波,1
好长的海带,5
我好靠前啊,5
440,1
HAO,1
重度肌无力,4
关键的一波,2
都破八了,4
我以为是升堂,4
好西幻,2
墉河神祭,5
卧槽海盗狗,4
onnnnn,2
国足之敌,4
超大看着,4
消灭骑士,2
红温乐,2
把我们杀了吧,4
这热量真爆炸,5
这里梗超多,2
是你吗石斑鱼,3
王若度,2
要叫表锅,4
崛起G位,2
裤衩子是蓝色,2
我在B玩泥巴,4
克隆墩,5
江流儿,2
希望身体健康,5
生僻字大全,5
真不怪,2
立刻开始吃饭,2
暴打和平暖暖,2
阿战卷凉皮,5
锁人气,2
不累腮帮子吗,5
这热了不好吃,5
scratch,3
狠人归来,2
16w了,4
这个极力推荐,2
四季春要摇开,5
科技史,3
nmd为什么,1
这也太贵了,6
武器池一生黑,2
徒手游走,5
BGM哭辽,1
奎木狼,1
好臭的曜,2
Comeindoyoureadme,1
吃灰妹儿,5
龙虾泛滥,5
听哪个熟了,5
自动拒绝投降,2
好安静啊,2
有专业团队,4
上路乔丹,2
风中之烛,2
我去啊,4
前前x袭裆拳,2
不是牛腩吗,5
郭浩吓,4
ahdaydayday,1
赶紧买啊,4
这是萝卜吗,5
史丹的基因,2
休息区,5
百川归位,2
罪恶之源,5
缺敞篷车,2
快吃口,5
我要喝,4
就你叫夏洛啊,2
擦处处飙车,1
章鱼袭击人类,5
复婚BGM,5
Tagi,5
女孩也疯了吧,2
那我必须是了,2
hhhhhbbhhhhhhhhhhhh,5
新闻联播幻听,1
三又回,1
这比环,2
冠军的诅咒吗,2
迫害窝瓜,2
提前准备,2
扒皮挫骨,5
战令皮,2
换横屏,1
这还能试玩,1
加油学长,3
这挺帅的,1
有点像麻叶,5
进化唐僧,2
巴流术是吧,2
沙河懂,5
摸摸头,6
我也是晕车,5
握草有挂,5
从头到尾,6
865水平,3
李先生,6
野乃七海,1
你很勇,2
法法专场好耶,1
雷霆乍惊,2
东北菜之耻,5
2988,5
visa,3
你缺老公吗,4
老马赞不绝口,5
布莱克,2
我干过,4
335,6
王喜顺乱入,2
好像也不贵啊,4
小米拉夸的神,3
加油动画区,1
好可爱的创意,1
luckin,4
你干的好哇,2
龙血大剑,2
98最平衡吧,2
美企做,3
牙齿痛啊,2
高能君求保护,2
肌肉装,4
哎doge,2
我喜欢奶盖,5
热心观众,2
下代会,3
我心脏,4
爱国者,6
绿的没熟,5
刚刚开始确信,4
我第一个到的,4
全是心血啊,2
were,5
516,3
版权警告,5
恍恍惚惚,6
拖油瓶,6
居然是七只,5
v5yyds,2
32個人好呀,1
60g,3
太费手了吧,4
海军士兵,4
秒不掉,2
不会吃真实,4
不要紧,6
蟒王大飞机,2
黑天鹅,6
作弊现场,4
这会变,2
像公寓,4
好漂亮的尾巴,5
前方高能换头,2
核武器,6
王哥帅,2
Cluo,5
中二感,2
雪落樱花上,2
我靠笑死我了,4
别墅之灾,4
啥武器,2
智力康复学校,4
就印记,4
宝儿姐,2
丢了吧,4
还有柳母话,4
iw超开心,2
这不接,2
血亏一盘,5
增紫光减对焦,3
只见过,1
乌米饭,5
怪兽甲乙丙,4
原著是蛇尾啊,2
记住了喔,2
准备动手,5
qq堂,2
黄金搬运工,4
可汗震怒,2
耗你电池呢,5
奥运会食堂,1
罗汉果我都信,5
财神庙,5
小杀器啊,3
拉客四,2
侄女像斯嘉丽,5
老M了,2
饥饿刚琴家,5
吃的很给力啊,5
这e挡e,2
您好不再见,3
我好快乐棒读,2
哦在这儿停顿,2
圆之夜,2
没钱你行吗,4
完全躺平,3
吃饱了已经,5
woc宁,2
才如坑,2
寄给我求你了,5
像赵本山呢咋,4
不清楚,2
BGMEmptyLove,2
可以当你妈,2
一千多在看,2
市场营销,1
我笑死了人,5
什么你美,5
迪拜迪拜,5
第四声,6
这个设计喜欢,3
开除策划,2
不是张牧吗,5
氮蝝钔,4
兩塊錢一斤,3
就不是甘雨的,2
爱看爱看,5
鼓油啊哈哈,5
107200,4
改版前好喝,5
感谢这位网友,4
如入无人之境,2
没加醋,5
好姜宝怪哦,5
奶油糖好耶,2
老好吃了这个,5
密子密的干咯,5
今天我最早,5
有道理啊,6
言而有信,4
GBF,2
锌钙的,4
就像刮彩票,4
ruojbk,5
玛德好帅,2
该来的总会来,2
亚克力,6
迷路贴吧,2
陈鹤皋陈海皇,2
生鸡蛋太腥了,5
八戒呢,2
太有内氛围了,3
我早忘了,2
公牛吧,2
居然来长春啦,5
歌公放,4
基本功能,3
堂主你怎么了,2
大姐牛啊,5
居然有点帅,4
抱上猫猫跑,1
有绫人,2
59该不是,4
这是拉宏么,4
这期太恶心了,5
好奇味道,5
哪里买,5
md燃起来了,2
叠瓦盘,3
佩奇样式,5
