,Bullet Chat,Frequency,Source Video Title,Category ID,Channel ID,Source Video View Count
0,有生之年,40,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
1,原始森林,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
2,沃玛,3,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
3,危,3,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
4,熟了,3,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
5,玛术,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
6,生草,8,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
7,真就开始生草了是吧,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
8,你就宠她吧,4,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
9,这是怎么把杯子也给浇出来的,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
10,草,54,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
11,我的钛合金眼,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
12,好宠,2,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
13,未曾设想的道路,10,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
14,倒出了个杯子啊,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
15,yee,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
16,hana,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
17,旁边的盆栽,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
18,直接三连,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
19,原来是这样子玩的,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
20,要素过多,1,warma300万关注啦来纪念一下吧沃玛的生活第七期,47,Warma,3781976
